일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),최고 해면기압(hPa),최저 해면기압(hPa),평균 해면기압(hPa),평균 지면온도(°C)
2020-05-30,22.6,16.5,30,4.3,1.9,29,57.3,1018.7,1013.6,1016,27.6
2020-05-31,21.2,17.6,28,5.7,2.3,39,63,1015.4,1008.6,1011.3,25.7
2020-06-01,19.7,16.6,24.5,6.2,3.4,37,64.3,1010.5,1008.5,1009.6,26.6
2020-06-02,17.9,14.8,21.8,4.1,2.2,43,71,1011.3,1004.7,1007.3,18.3
2020-06-03,22,17.6,28.4,5.6,2.4,47,73.3,1005.7,1000.6,1003.7,27.1
2020-06-04,21.9,19.7,26.5,4.7,2.7,57,81.1,1006.6,1002.6,1003.9,26.8
2020-06-05,23,18.4,28.7,3.8,1.8,45,69.4,1008.3,1005.1,1007,29.8
2020-06-06,24.6,19.2,30.9,4.4,2,38,63.6,1010,1005.9,1007.9,31.4
2020-06-07,22.7,19.2,29.2,5.1,2.3,44,69.4,1013.2,1009.8,1011.7,30.2
2020-06-08,25,19.8,32,5.5,2.1,40,63.6,1016.2,1012.6,1014.4,32.7
2020-06-09,26.7,20.3,32.8,4.3,2.3,34,51.6,1015.9,1012.2,1014,34.1
2020-06-10,25.8,22.5,32.1,6.2,2,41,63.8,1013.4,1005.3,1008.6,32.8
2020-06-11,26.1,21.7,31.6,4.6,2.2,38,68.3,1005.4,1000.8,1003.3,30.1
2020-06-12,24.7,21.6,27.6,3,1.7,49,68.6,1005.7,1003.7,1004.8,25.8
2020-06-13,26.9,20.6,33.5,5,1.9,27,52.8,1005.9,1001.9,1003.9,34.6
2020-06-14,24,20.1,28.8,5.9,2.9,41,70.6,1007.2,1002.3,1004,29.6
2020-06-15,23,18.2,28.6,6.3,2.8,31,62.3,1008.1,1004.1,1006.1,31.1
2020-06-16,24.4,20,30.7,4.4,2.2,37,63,1007,1003.4,1005.5,32.2
2020-06-17,24.3,20.2,30.3,4.3,2,37,58.6,1006.1,1003.3,1005,31.1
2020-06-18,23.4,20.3,27.3,3.4,1.6,47,61.4,1005.6,1000.9,1002.8,26.7
2020-06-19,24.7,21.1,30,4.2,2.1,45,61.4,1009.5,1002.8,1006.1,29.6
2020-06-20,24.9,20.7,29.7,4.6,2.1,48,62.6,1011.3,1008,1009.8,31.9
2020-06-21,26.1,19.5,32.7,4.5,2,39,59.5,1009.9,1005,1007.7,34.1
2020-06-22,28.6,21.7,35.4,4.1,2,26,50.5,1008.7,1006.1,1007.6,36.3
2020-06-23,27.3,23.2,31,3.7,1.9,42,53.5,1009.6,1006.4,1007.9,32.1
2020-06-24,22.3,19.9,26.3,5.7,2.7,55,83.5,1006.4,1000.7,1002.9,22.7
2020-06-25,21.6,20.1,23.4,4.3,2.2,79,91,1003.3,1000.7,1001.6,23
2020-06-26,21.8,19.2,25.7,5.3,3.2,63,82.1,1008.3,1003.1,1006.2,22.9
2020-06-27,24.1,20.4,29.6,5.4,2,52,70.4,1008.2,1003,1005.2,25.2
2020-06-28,25.2,21.5,30.1,4.7,2.4,49,70.5,1006.1,1003.2,1004.3,28.6
2020-06-29,23.8,20.6,26.5,5.9,2.4,64,77,1006.1,993,1001.5,23.9
2020-06-30,20.1,18.4,23.1,7.6,4,63,83,1001,989.4,994,20.8
2020-07-01,21.1,18.1,24.3,3.7,1.9,67,79.3,1008.9,1001,1004.8,21.3
2020-07-02,24.2,20.4,29.8,3.4,1.9,51,74.5,1012.9,1008.8,1010.7,24.5
2020-07-03,25.5,21.6,30.6,6.1,2.6,34,63.5,1012.6,1007.7,1010.3,28.6
2020-07-04,24.2,20.4,29.5,4.4,2.1,39,63.9,1009.8,1005,1006.7,28.2
2020-07-05,23.8,19.9,27.6,3.5,1.9,52,68.6,1006.6,1001.8,1004.2,26.7
2020-07-06,25.6,21.8,30.9,4.7,2.1,46,66.6,1002.6,998.6,1000.8,28.5
2020-07-07,24.1,22.1,28.1,4,2.5,59,75.5,1005.5,1001.9,1004,28.3
2020-07-08,25.5,21.3,30.4,3.7,2,52,71.9,1005.4,1002.7,1004.4,30.5
2020-07-09,27.5,21.8,32.9,3.6,1.7,38,64.6,1005,1001.7,1003.6,31.9
2020-07-10,24.5,22.7,27.7,6.6,2.8,60,75,1003.6,1000.4,1002.2,25.2
2020-07-11,25.8,22.2,30.2,5,2.6,49,62.6,1009.9,1002.9,1007.1,29.7
2020-07-12,23.5,21.7,26,3.6,2.4,58,71.9,1011,1007,1009.1,25.3
2020-07-13,18.7,17.7,21.7,5.9,4,86,94.8,1007.1,1001.2,1002.9,20.1
2020-07-14,20.3,17.2,24.3,4.4,2.8,62,79.4,1005.6,1001.2,1003.8,22.6
2020-07-15,23.4,18.9,28.7,3.4,2,40,63.1,1006.5,1003.4,1005.3,26.4
2020-07-16,25,20.4,29.7,3.5,1.8,55,70.9,1008.1,1004.9,1006.7,27.4
2020-07-17,26,21.5,31.6,5.6,1.9,52,72,1009.1,1006.6,1008,28.3
2020-07-18,26.1,22.8,31,4,1.6,54,71.6,1009.3,1006.6,1008.1,27.9
2020-07-19,24,20.6,26.6,4.3,2.7,62,81.6,1008.5,1002.1,1004.6,22.9
2020-07-20,23.8,22.4,26.6,7,3.7,77,86.3,1010.8,1001,1005.6,23.8
